DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20140430,20140530,1,WPG,WASHINGTON PRIME GROUP INC,Financials,New York Stock Exchange Inc.
20140430,20140530,1,X,US STEEL CORP CORP,Materials,New York Stock Exchange Inc.
20140331,20140430,1,ESS,ESSEX PROPERTY TRUST REIT INC TRUS,Financials,New York Stock Exchange Inc.
20140331,20140430,1,GGQ7,GOOGLE INC CLASS C,Information Technology,Deutsche Boerse Xetra
20140331,20140430,1,HAWKB,BLACKHAWK NETWORK HOLDINGS INC CLA,Financials,NASDAQ
20140228,20140331,1,ACT,ACTAVIS INC.,Health Care,New York Stock Exchange Inc.
20140228,20140331,1,AFL,AFLAC INC,Financials,New York Stock Exchange Inc.
20140228,20140331,1,AGN,ALLERGAN INC,-,New York Stock Exchange Inc.
20140228,20140331,1,APC,ANADARKO PETROLEUM CORP,Energy,New York Stock Exchange Inc.
20140228,20140331,1,AXP,AMERICAN EXPRESS,Financials,New York Stock Exchange Inc.
20140228,20140331,1,CME,CME GROUP INC CLASS A,Financials,NASDAQ
20140228,20140331,1,DFS,DISCOVER FINANCIAL SERVICES,Financials,New York Stock Exchange Inc.
20140228,20140331,1,ESRX,EXPRESS SCRIPTS HOLDING,Health Care,NASDAQ
20140228,20140331,1,GE,GENERAL ELECTRIC,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,GMCR,KEURIG GREEN MOUNTAIN INC,-,NASDAQ
20140228,20140331,1,HON,HONEYWELL INTERNATIONAL INC,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,L,LOEWS CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,LMT,LOCKHEED MARTIN CORP,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,-,NASDAQ
20140228,20140331,1,MET,METLIFE INC,Financials,New York Stock Exchange Inc.
20140228,20140331,1,MPC,MARATHON PETROLEUM CORP,Energy,New York Stock Exchange Inc.
20140228,20140331,1,MTB,M&T BANK CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,NOC,NORTHROP GRUMMAN CORP,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,QCOM,QUALCOMM INC,Information Technology,NASDAQ
20140228,20140331,1,RF,REGIONS FINANCIAL CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,RTN,RAYTHEON,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,SCHW,CHARLES SCHWAB CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,SLB,SCHLUMBERGER NV,Energy,New York Stock Exchange Inc.
20140228,20140331,1,THC,TENET HEALTHCARE CORP,Health Care,New York Stock Exchange Inc.
20140228,20140331,1,TRV,TRAVELERS COMPANIES INC,Financials,New York Stock Exchange Inc.
20140228,20140331,1,TWC,TIME WARNER CABLE INC,Consumer Discretionary,New York Stock Exchange Inc.
20140228,20140331,1,UNM,UNUM,Financials,New York Stock Exchange Inc.
20140228,20140331,1,V,VISA INC CLASS A,Information Technology,New York Stock Exchange Inc.
20131231,20140131,1,TSCO,TRACTOR SUPPLY,Consumer Discretionary,NASDAQ
20131129,20131231,1,ADS,ALLIANCE DATA SYSTEMS CORP,Information Technology,New York Stock Exchange Inc.
20131129,20131231,1,ALLE,ALLEGION PLC,Industrials,New York Stock Exchange Inc.
20131129,20131231,1,FB,FACEBOOK CLASS A INC,Information Technology,Bolsa Mexicana De Valores
20131129,20131231,1,GGP,GGP INC,-,New York Stock Exchange Inc.
20131129,20131231,1,MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,New York Stock Exchange Inc.
20131031,20131129,1,KORS,MICHAEL KORS HOLDINGS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20130930,20131031,1,A60,ACTAVIS INC,Health Care,Boerse Berlin
20130930,20131031,1,RIG,TRANSOCEAN LTD,Energy,New York Stock Exchange Inc.
20130830,20130930,1,AME,AMETEK INC,Industrials,New York Stock Exchange Inc.
20130830,20130930,1,DAL,DELTA AIR LINES INC,Industrials,New York Stock Exchange Inc.
20130830,20130930,1,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,SIX Swiss Exchange
20130628,20130731,1,FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Consumer Discretionary,NASDAQ
20130628,20130731,1,NLSN,NIELSEN HOLDINGS NV,Industrials,New York Stock Exchange Inc.
20130628,20130731,1,NWSA,NEWS CORP CLASS A,Consumer Discretionary,NASDAQ
20130531,20130628,1,GM,GENERAL MOTORS,Consumer Discretionary,New York Stock Exchange Inc.
20130531,20130628,1,ZTS,ZOETIS INC CLASS A,Health Care,New York Stock Exchange Inc.
20130430,20130531,1,KSU,KANSAS CITY SOUTHERN,Industrials,New York Stock Exchange Inc.
20130430,20130531,1,MAC,MACERICH REIT,Financials,New York Stock Exchange Inc.
20130430,20130531,1,REGN,REGENERON PHARMACEUTICALS INC,Health Care,NASDAQ
20130328,20130430,1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20130228,20130328,1,LB,L BRANDS INC,-,New York Stock Exchange Inc.
20130131,20130228,1,CWGL,CRIMSON WINE GROUP LTD,Consumer Staples,Non-Nms Quotation Service (Nnqs)
20130131,20130228,1,PVH,PVH CORP,Consumer Discretionary,New York Stock Exchange Inc.
20121231,20130131,1,ABBV,ABBVIE INC,Health Care,Nyse Euronext - Euronext Paris
20121231,20130131,1,ACT,ACTAVIS INC.,Health Care,New York Stock Exchange Inc.
20121231,20130131,1,ETN,EATON PLC,Industrials,New York Stock Exchange Inc.
20121130,20121231,1,3EC,EATON PLC,Industrials,Deutsche Boerse Xetra
20121130,20121231,1,DG,DOLLAR GENERAL CORP,Consumer Discretionary,New York Stock Exchange Inc.
20121130,20121231,1,DLPH,DELPHI AUTOMOTIVE PLC,Consumer Discretionary,New York Stock Exchange Inc.
20121130,20121231,1,GRMN,GARMIN LTD,Consumer Discretionary,NASDAQ
20120928,20121031,1,ADT,ADT CORPORATION,Industrials,New York Stock Exchange Inc.
20120928,20121031,1,KRFT,KRAFT FOODS GROUP INC,Consumer Staples,NASDAQ
20120928,20121031,1,KTF,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Boerse Stuttgart
20120928,20121031,1,PETM,PETSMART INC,Consumer Discretionary,NASDAQ
20120928,20121031,1,PNR,PENTAIR LTD,Industrials,New York Stock Exchange Inc.
20120928,20121031,1,THC1,TENET HEALTHCARE CORP,Health Care,Boerse Berlin
20120831,20120928,1,LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,New York Stock Exchange Inc.
20120629,20120731,1,ESV,ENSCO PLC CLASS A,Energy,New York Stock Exchange Inc.
20120629,20120731,1,STX,SEAGATE TECHNOLOGY PLC,Information Technology,NASDAQ
20120531,20120629,1,LRCX,LAM RESEARCH CORP,Information Technology,NASDAQ
20120531,20120629,1,MNST,MONSTER BEVERAGE CORP,Consumer Staples,NASDAQ
20120430,20120531,1,6COP,COVIDIEN,Health Care,Boerse Berlin
20120430,20120531,1,ALXN,ALEXION PHARMACEUTICALS INC,Health Care,NASDAQ
20120430,20120531,1,KMI,KINDER MORGAN INC,Energy,New York Stock Exchange Inc.
20120430,20120531,1,KMI WS,KINDER MORGAN EQUITY WARRANTS EXP,Energy,New York Stock Exchange Inc.
20120430,20120531,1,PSX,PHILLIPS,Energy,New York Stock Exchange Inc.
20120330,20120430,1,4XS,EXPRESS SCRIPTS HOLDING,Health Care,Deutsche Boerse Xetra
20120330,20120430,1,FOSL,FOSSIL GROUP INC.,Consumer Discretionary,NASDAQ
20120229,20120330,1,CCI,CROWN CASTLE INTERNATIONAL REIT CO,Telecommunication Services,New York Stock Exchange Inc.
20111230,20120131,1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20111230,20120131,1,WPX,WPX ENERGY INC,Energy,New York Stock Exchange Inc.
20111130,20111230,1,6COP,COVIDIEN,Health Care,Boerse Berlin
20111130,20111230,1,BWA,BORGWARNER INC,Consumer Discretionary,New York Stock Exchange Inc.
20111130,20111230,1,DLTR,DOLLAR TREE INC,Consumer Discretionary,NASDAQ
20111130,20111230,1,GAS,AGL RESOURCES INC.,Utilities,New York Stock Exchange Inc.
20111130,20111230,1,OSHSQ,ORCHARD SUPPLY HARDWARE STORES PRE,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20111130,20111230,1,OSHWQ,ORCHARD SUPPLY HARDWARE STORES COR,Consumer Discretionary,Non-Nms Quotation Service (Nnqs)
20111130,20111230,1,PRGO,PERRIGO COMPANY,Health Care,New York Stock Exchange Inc.
20111130,20111230,1,TRIP,TRIPADVISOR INC,Consumer Discretionary,NASDAQ
20111031,20111130,1,CBE,COOPER INDUSTRIES PLC CL A,Industrials,New York Stock Exchange Inc.
20111031,20111130,1,XYL,XYLEM INC,Industrials,New York Stock Exchange Inc.
20110930,20111031,1,BEAM,BEAM INC,Consumer Staples,New York Stock Exchange Inc.
20110930,20111031,1,TEL,TE CONNECTIVITY LTD,Information Technology,New York Stock Exchange Inc.
20110831,20110930,1,MOS,MOSAIC CO,Materials,Bolsa Mexicana De Valores
20110630,20110729,1,ACN,ACCENTURE PLC CLASS A,Information Technology,New York Stock Exchange Inc.
20110630,20110729,1,MPN,MARATHON PETROLEUM CORP,Energy,Boerse Stuttgart
20110531,20110630,1,ANRZQ,ALPHA NATURAL RESOURCES INC,Energy,Non-Nms Quotation Service (Nnqs)
20110531,20110630,1,PLD,PROLOGIS REIT INC,Financials,New York Stock Exchange Inc.
20110429,20110531,1,C,CITIGROUP INC,Financials,New York Stock Exchange Inc.
20110331,20110429,1,BLK,BLACKROCK INC,Financials,New York Stock Exchange Inc.
20110331,20110429,1,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,New York Stock Exchange Inc.
20110331,20110429,1,EW,EDWARDS LIFESCIENCES CORP,Health Care,New York Stock Exchange Inc.
20110228,20110331,1,COV,COVIDIEN,Health Care,New York Stock Exchange Inc.
20110228,20110331,1,HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,New York Stock Exchange Inc.
20110131,20110228,1,JOY,JOY GLOBAL INC,Industrials,New York Stock Exchange Inc.
20101231,20110131,1,MMI,MOTOROLA MOBILITY HOLDINGS INC.,Information Technology,New York Stock Exchange Inc.
20101231,20110131,1,MSI,MOTOROLA SOLUTIONS INC,Information Technology,New York Stock Exchange Inc.
20101231,20110131,1,NE,NOBLE CORP.,Energy,New York Stock Exchange Inc.
20101130,20101231,1,CVC,CABLEVISION SYSTEMS CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20101130,20101231,1,FFIV,F5 NETWORKS INC,Information Technology,NASDAQ
20101130,20101231,1,NFLX,NETFLIX INC,Consumer Discretionary,NASDAQ
20101130,20101231,1,NFX,NEWFIELD EXPLORATION,Energy,New York Stock Exchange Inc.
20101029,20101130,1,IR,INGERSOLL RAND PLC,Industrials,New York Stock Exchange Inc.
20100730,20100831,1,TYC,TYCO INTERNATIONAL LTD,Industrials,New York Stock Exchange Inc.
20100630,20100730,1,QEP,QEP RESOURCES INC,Energy,New York Stock Exchange Inc.
20100528,20100630,1,KMX,CARMAX INC,Consumer Discretionary,New York Stock Exchange Inc.
20100331,20100430,1,CERN,CERNER CORP,Health Care,NASDAQ
20100226,20100331,1,DISCA,DISCOVERY COMMUNICATIONS INC SERIE,Consumer Discretionary,NASDAQ
20100226,20100331,1,HP,HELMERICH & PAYNE INC,Energy,New York Stock Exchange Inc.
20100226,20100331,1,OKE,ONEOK INC,Utilities,New York Stock Exchange Inc.
20100129,20100226,1,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,New York Stock Exchange Inc.
20100129,20100226,1,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,NASDAQ
20091231,20100129,1,NRG,NRG ENERGY INC,Utilities,New York Stock Exchange Inc.
20091130,20091231,1,CLF,CLIFFS NATURAL RESOURCES INC,Materials,New York Stock Exchange Inc.
20091130,20091231,1,LDOS,SAIC INC,Information Technology,New York Stock Exchange Inc.
20091130,20091231,1,MJN,MEAD JOHNSON NUTRITION,Consumer Staples,New York Stock Exchange Inc.
20091130,20091231,1,ROP,ROPER TECHNOLOGIES INC,Industrials,New York Stock Exchange Inc.
20091130,20091231,1,ROST,ROSS STORES INC,Consumer Discretionary,NASDAQ
20091130,20091231,1,VISA,VISA INC,Information Technology,Spot Regulated Market - Bvb
20091030,20091130,1,PCLN,THE PRICELINE GROUP INC,Consumer Discretionary,NASDAQ
20090930,20091030,1,FSLR,FIRST SOLAR INC,Industrials,NASDAQ
20090831,20090930,1,ARG,AIRGAS INC,Materials,New York Stock Exchange Inc.
20090831,20090930,1,CFN,CAREFUSION CORP,Health Care,New York Stock Exchange Inc.
20090731,20090831,1,FMC,FMC CORP,Materials,New York Stock Exchange Inc.
20090630,20090731,1,PWR,QUANTA SERVICES INC,Industrials,New York Stock Exchange Inc.
20090630,20090731,1,RHT,RED HAT INC,Information Technology,New York Stock Exchange Inc.
20090630,20090731,1,WDC,WESTERN DIGITAL CORP,Information Technology,NASDAQ
20090529,20090630,1,DV,DEVRY EDUCATION GROUP INC,Consumer Discretionary,New York Stock Exchange Inc.
20090529,20090630,1,FTI,FMC TECHNOLOGIES INC,Energy,New York Stock Exchange Inc.
20090529,20090630,1,PCS,METROPCS COMMUNICATIONS INC.,Telecommunication Services,New York Stock Exchange Inc.
20090430,20090529,1,AVNW,AVIAT NETWORKS INC,Information Technology,NASDAQ
20090331,20090430,1,DNR,DENBURY RESOURCES INC,Energy,New York Stock Exchange Inc.
20090227,20090331,1,ES,NORTHEAST UTILITIES,Utilities,New York Stock Exchange Inc.
20090227,20090331,1,HRL,HORMEL FOODS CORP,Consumer Staples,New York Stock Exchange Inc.
20090227,20090331,1,ORLY,OREILLY AUTOMOTIVE INC.,Consumer Discretionary,NASDAQ
20090227,20090331,1,T3W1,TIME WARNER CABLE-A,Consumer Discretionary,Boerse Berlin
20090227,20090331,1,VTR,VENTAS REIT INC,Financials,New York Stock Exchange Inc.
20090130,20090227,1,DO,DIAMOND OFFSHORE DRILLING INC,Energy,New York Stock Exchange Inc.
20081231,20090130,1,FLIR,FLIR SYSTEMS INC,Information Technology,NASDAQ
20081231,20090130,1,HCN,HEALTH CARE REIT INC,Financials,New York Stock Exchange Inc.
20081231,20090130,1,IRM,IRON MOUNTAIN INC,Industrials,New York Stock Exchange Inc.
20081231,20090130,1,OI,OWENS ILLINOIS INC,Materials,New York Stock Exchange Inc.
20081231,20090130,1,SCG,SCANA CORP,Utilities,New York Stock Exchange Inc.
20081128,20081231,1,DNB,DUN & BRADSTREET CORP,Industrials,New York Stock Exchange Inc.
20081128,20081231,1,EQT,EQT CORP,Utilities,New York Stock Exchange Inc.
