Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
F,20200601,16724542,78391,25734763,"B,Q,N",16646151
CLX,20200601,169437,11802,350501,"B,Q,N",157635
CDNS,20200601,182159,3601,525347,"B,Q,N",178558
MSI,20200601,87156,10937,486289,"B,Q,N",76219
MCHP,20200601,354110,6741,569714,"B,Q,N",347369
PH,20200601,191116,4546,336998,"B,Q,N",186570
ALXN,20200601,262360,3256,605202,"B,Q,N",259104
STT,20200601,109786,1282,239489,"B,Q,N",108504
WMB,20200601,1268660,15736,2957691,"B,Q,N",1252924
ED,20200601,142724,5719,364806,"B,Q,N",137005
BLL,20200601,239910,272,327032,"B,Q,N",239638
MPC,20200601,1495571,13395,2722520,"B,Q,N",1482176
HPQ,20200601,1410369,23891,6797458,"B,Q,N",1386478
HLT,20200601,266580,7780,611751,"B,Q,N",258800
ANSS,20200601,75498,0,94918,"B,Q,N",75498
XLNX,20200601,231091,11312,403656,"B,Q,N",219779
TDG,20200601,90768,0,171314,"B,Q,N",90768
WELL,20200601,550793,2604,969111,"B,Q,N",548189
FAST,20200601,328622,553,669747,"B,Q,N",328069
PAYX,20200601,293162,3274,398313,"B,Q,N",289888
SPG,20200601,1706325,13608,2794104,"B,Q,N",1692717
AWK,20200601,96360,4607,185978,"B,Q,N",91753
PPL,20200601,804504,2637,2036926,"B,Q,N",801867
RMD,20200601,61508,2800,114598,"B,Q,N",58708
TT,20200601,118639,403,598206,"B,Q,N",118236
FE,20200601,192157,4713,400338,"Q,N",187444
ADM,20200601,294441,1925,556281,"B,Q,N",292516
CTVA,20200601,559571,3339,1154962,"B,Q,N",556232
CERN,20200601,359189,9007,560146,"B,Q,N",350182
OTIS,20200601,283347,19818,1050888,"B,Q,N",263529
CTAS,20200601,47001,100,115307,"B,Q,N",46901
AVB,20200601,105532,3149,292219,"B,Q,N",102383
FLT,20200601,22535,1040,214432,"B,Q,N",21495
DLTR,20200601,464893,8842,963056,"B,Q,N",456051
SWKS,20200601,202822,3531,341651,"B,Q,N",199291
VRSN,20200601,83083,1400,161651,"B,Q,N",81683
SWK,20200601,140646,1500,251738,"B,Q,N",139146
EQR,20200601,146537,15992,1126579,"B,Q,N",130545
APTV,20200601,153842,4529,389244,"B,Q,N",149313
AME,20200601,150663,0,220339,"Q,N",150663
DTE,20200601,78199,100,167226,"Q,N",78099
EFX,20200601,97679,14216,323161,"B,Q,N",83463
EIX,20200601,93512,9583,470305,"B,Q,N",83929
VFC,20200601,424333,1020,605454,"B,Q,N",423313
MKC,20200601,52926,361,121767,"B,Q,N",52565
O,20200601,246576,1523,685570,"B,Q,N",245053
MTD,20200601,19371,263,32229,"B,Q,N",19108
LUV,20200601,3757811,64628,9826281,"B,Q,N",3693183
ETR,20200601,88575,442,188888,"B,Q,N",88133
FTV,20200601,123235,2857,837216,"B,Q,N",120378
FRC,20200601,86836,0,195342,"B,Q,N",86836
FTNT,20200601,471422,2404,723414,"B,Q,N",469018
HSY,20200601,111932,0,150420,"B,Q,N",111932
KHC,20200601,399745,8009,1438284,"B,Q,N",391736
AMP,20200601,111238,231,169345,"B,Q,N",111007
KEYS,20200601,349297,7910,563829,"B,Q,N",341387
GLW,20200601,726549,12494,1096508,"B,Q,N",714055
LYB,20200601,393407,8499,589466,"B,Q,N",384908
TSN,20200601,429975,7309,811675,"B,Q,N",422666
MKTX,20200601,78041,725,119775,"B,Q,N",77316
NTRS,20200601,77103,313,197608,"B,Q,N",76790
ALGN,20200601,72739,1221,250555,"B,Q,N",71518
DAL,20200601,9791883,100770,24400771,"B,Q,N",9691113
ARE,20200601,46454,105,136976,"B,Q,N",46349
CARR,20200601,945667,31917,1789175,"B,Q,N",913750
CPRT,20200601,158478,547,429344,"B,Q,N",157931
DFS,20200601,984563,9047,1754578,"B,Q,N",975516
RSG,20200601,68001,5708,162515,"B,Q,N",62293
BBY,20200601,395221,5854,870428,"B,Q,N",389367
CHD,20200601,117452,4711,258053,"B,Q,N",112741
AJG,20200601,88814,8127,282760,"B,Q,N",80687
DHI,20200601,481418,12603,1955788,"B,Q,N",468815
AEE,20200601,87387,550,216716,"Q,N",86837
LVS,20200601,757745,11022,2170899,"B,Q,N",746723
LH,20200601,59962,642,132991,"B,Q,N",59320
PXD,20200601,366298,4148,582456,"B,Q,N",362150
LEN,20200601,426677,3629,1163999,"B,Q,N",423048
AMCR,20200601,833720,27478,1560282,"Q,N",806242
TFX,20200601,43676,7046,99328,"Q,N",36630
CBRE,20200601,181562,11493,310742,"B,Q,N",170069
CDW,20200601,72874,670,157199,"B,Q,N",72204
OKE,20200601,896039,10755,1687794,"B,Q,N",885284
CMS,20200601,230602,7707,397926,"B,Q,N",222895
INCY,20200601,109612,10407,383434,"B,Q,N",99205
CAH,20200601,219088,1023,349660,"B,Q,N",218065
WY,20200601,286352,5683,1868684,"B,Q,N",280669
AKAM,20200601,243156,10265,504112,"B,Q,N",232891
ESS,20200601,54507,3688,73897,"B,Q,N",50819
MXIM,20200601,199393,3918,389010,"Q,N",195475
FITB,20200601,325444,15709,1016048,"B,Q,N",309735
CAG,20200601,267745,10856,751472,"B,Q,N",256889
CTXS,20200601,174502,10393,458170,"B,Q,N",164109
K,20200601,209278,14114,449124,"B,Q,N",195164
